algorithm,tc_power_mean,confidence,error_mean,error_std
NELDER_MEAD,1184.0,0.24,715.8,421.5
MLNN,,0.0,537.3,199.3
RNN,1190.1,0.14,445.7,249.9
CNN,,0.0,537.3,199.3
