algorithm,tc_power_mean,confidence,error_mean,error_std
NELDER_MEAD,3287.9,0.33,717.0,386.1
MLNN,2649.5,0.23,360.5,318.4
RNN,2629.2,0.22,379.5,317.4
CNN,2589.3,0.13,397.0,313.2
